id,stratum,arm,truth_n,found_n,precision,recall,f1,collision_precision,fqn_precision,fqn_recall,fqn_f1,calls
com_hazelcast_spi_tenantcontrol_Tenantable,structural,grep,474,480,0.823,0.833,0.828,0.822,,,,481
com_hazelcast_client_impl_protocol_task_MessageTask,structural,grep,117,21,0.381,0.068,0.116,0.381,,,,22
com_hazelcast_client_impl_client_SecureRequest,structural,grep,117,18,0.444,0.068,0.119,0.444,,,,19
com_hazelcast_map_impl_operation_steps_engine_StepAwareOperation,structural,grep,93,1,1.0,0.011,0.021,1.0,,,,2
com_hazelcast_map_impl_operation_steps_IMapStepAwareOperation,structural,grep,92,0,0.0,0.0,0.0,0.0,,,,1
com_hazelcast_spi_impl_operationservice_AsynchronouslyExecutingBackupOperation,structural,grep,95,3,1.0,0.032,0.061,1.0,,,,4
com_hazelcast_map_impl_operation_steps_engine_Step,structural,grep,33,4,0.5,0.061,0.108,0.5,,,,5
com_hazelcast_spi_impl_operationservice_NamedOperation,structural,grep,295,164,0.988,0.549,0.706,0.987,,,,165
com_hazelcast_spi_impl_operationservice_MutatingOperation,lexical,grep,105,52,1.0,0.495,0.662,1.0,,,,53
com_hazelcast_spi_impl_operationservice_BackupOperation,lexical,grep,73,110,0.482,0.726,0.579,0.477,,,,111
com_hazelcast_nio_serialization_impl_Versioned,lexical,grep,87,338,0.178,0.69,0.282,0.176,,,,339
com_hazelcast_client_impl_protocol_task_AbstractCallableMessageTask,lexical,grep,83,21,1.0,0.253,0.404,1.0,,,,22
com_hazelcast_spi_tenantcontrol_Tenantable,structural,index_cte,474,476,0.994,0.998,0.996,0.992,,,,1
com_hazelcast_client_impl_protocol_task_MessageTask,structural,index_cte,117,1,1.0,0.009,0.017,1.0,,,,1
com_hazelcast_client_impl_client_SecureRequest,structural,index_cte,117,1,1.0,0.009,0.017,1.0,,,,1
com_hazelcast_map_impl_operation_steps_engine_StepAwareOperation,structural,index_cte,93,0,0.0,0.0,0.0,0.0,,,,1
com_hazelcast_map_impl_operation_steps_IMapStepAwareOperation,structural,index_cte,92,92,1.0,1.0,1.0,0.865,,,,1
com_hazelcast_spi_impl_operationservice_AsynchronouslyExecutingBackupOperation,structural,index_cte,95,0,0.0,0.0,0.0,0.0,,,,1
com_hazelcast_map_impl_operation_steps_engine_Step,structural,index_cte,33,0,0.0,0.0,0.0,0.0,,,,1
com_hazelcast_spi_impl_operationservice_NamedOperation,structural,index_cte,295,295,1.0,1.0,1.0,0.995,,,,1
com_hazelcast_spi_impl_operationservice_MutatingOperation,lexical,index_cte,105,105,1.0,1.0,1.0,0.984,,,,1
com_hazelcast_spi_impl_operationservice_BackupOperation,lexical,index_cte,73,73,1.0,1.0,1.0,0.993,,,,1
com_hazelcast_nio_serialization_impl_Versioned,lexical,index_cte,87,81,1.0,0.931,0.964,0.973,,,,1
com_hazelcast_client_impl_protocol_task_AbstractCallableMessageTask,lexical,index_cte,83,0,0.0,0.0,0.0,0.0,,,,1
com_hazelcast_spi_tenantcontrol_Tenantable,structural,index_scip,474,478,0.992,1.0,0.996,0.99,0.993,1.0,0.996,1
com_hazelcast_client_impl_protocol_task_MessageTask,structural,index_scip,117,451,0.259,1.0,0.412,0.259,0.259,1.0,0.412,1
com_hazelcast_client_impl_client_SecureRequest,structural,index_scip,117,451,0.259,1.0,0.412,0.259,0.259,1.0,0.412,1
com_hazelcast_map_impl_operation_steps_engine_StepAwareOperation,structural,index_scip,93,93,1.0,1.0,1.0,0.866,1.0,1.0,1.0,1
com_hazelcast_map_impl_operation_steps_IMapStepAwareOperation,structural,index_scip,92,92,1.0,1.0,1.0,0.865,1.0,1.0,1.0,1
com_hazelcast_spi_impl_operationservice_AsynchronouslyExecutingBackupOperation,structural,index_scip,95,95,1.0,1.0,1.0,0.869,1.0,1.0,1.0,1
com_hazelcast_map_impl_operation_steps_engine_Step,structural,index_scip,33,22,1.0,0.667,0.8,1.0,1.0,0.242,0.389,1
com_hazelcast_spi_impl_operationservice_NamedOperation,structural,index_scip,295,295,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1
com_hazelcast_spi_impl_operationservice_MutatingOperation,lexical,index_scip,105,105,1.0,1.0,1.0,0.984,1.0,1.0,1.0,1
com_hazelcast_spi_impl_operationservice_BackupOperation,lexical,index_scip,73,73,1.0,1.0,1.0,0.993,1.0,1.0,1.0,1
com_hazelcast_nio_serialization_impl_Versioned,lexical,index_scip,87,88,0.989,1.0,0.994,0.964,0.989,1.0,0.994,1
com_hazelcast_client_impl_protocol_task_AbstractCallableMessageTask,lexical,index_scip,83,100,0.83,1.0,0.907,0.83,0.83,1.0,0.907,1
