id,stratum,arm,truth_n,found_n,precision,recall,f1,calls
call_closure__COACTUPC,call_closure,grep,22,0,0.0,0.0,0.0,
call_closure__COACTVWC,call_closure,grep,22,0,0.0,0.0,0.0,
call_closure__COADM01C,call_closure,grep,22,2,1.0,0.091,0.167,
call_closure__COBIL00C,call_closure,grep,22,3,1.0,0.136,0.24,
call_closure__COCRDLIC,call_closure,grep,22,0,0.0,0.0,0.0,
call_closure__COCRDSLC,call_closure,grep,22,0,0.0,0.0,0.0,
call_closure__COCRDUPC,call_closure,grep,22,0,0.0,0.0,0.0,
call_closure__COMEN01C,call_closure,grep,22,2,1.0,0.091,0.167,
call_closure__COPAUS0C,call_closure,grep,22,3,1.0,0.136,0.24,
call_closure__COPAUS1C,call_closure,grep,22,0,0.0,0.0,0.0,
call_closure__CORPT00C,call_closure,grep,22,4,1.0,0.182,0.308,
call_closure__COSGN00C,call_closure,grep,22,2,1.0,0.091,0.167,
call_closure__COTRN00C,call_closure,grep,22,3,1.0,0.136,0.24,
call_closure__COTRN01C,call_closure,grep,22,3,1.0,0.136,0.24,
call_closure__COTRN02C,call_closure,grep,22,4,1.0,0.182,0.308,
call_closure__COTRTLIC,call_closure,grep,22,0,0.0,0.0,0.0,
call_closure__COTRTUPC,call_closure,grep,22,0,0.0,0.0,0.0,
call_closure__COUSR00C,call_closure,grep,22,3,1.0,0.136,0.24,
call_closure__COUSR01C,call_closure,grep,22,3,1.0,0.136,0.24,
call_closure__COUSR02C,call_closure,grep,22,3,1.0,0.136,0.24,
call_closure__COUSR03C,call_closure,grep,22,3,1.0,0.136,0.24,
data_access__ACCTFILE,data_access,grep,6,6,1.0,1.0,1.0,
data_access__XREFFILE,data_access,grep,6,6,1.0,1.0,1.0,
data_access__CUSTFILE,data_access,grep,4,3,1.0,0.75,0.857,
data_access__CARDDEMO.TRANSACTION_TYPE,data_access,grep,3,0,0.0,0.0,0.0,
data_access__CARDFILE,data_access,grep,3,2,1.0,0.667,0.8,
data_access__TRANFILE,data_access,grep,3,1,1.0,0.333,0.5,
data_access__DALYTRAN,data_access,grep,2,2,1.0,1.0,1.0,
data_access__EXPFILE,data_access,grep,2,1,1.0,0.5,0.667,
data_access__TCATBALF,data_access,grep,2,2,1.0,1.0,1.0,
data_access__TRANSACT,data_access,grep,2,1,1.0,0.5,0.667,
data_coupling__CBEXPORT,data_coupling,grep,9,8,1.0,0.889,0.941,
data_coupling__CBTRN01C,data_coupling,grep,9,11,0.818,1.0,0.9,
data_coupling__CBSTM03B,data_coupling,grep,7,7,1.0,1.0,1.0,
data_coupling__CBTRN02C,data_coupling,grep,7,11,0.636,1.0,0.778,
data_coupling__CBACT04C,data_coupling,grep,6,11,0.545,1.0,0.706,
data_coupling__CBACT01C,data_coupling,grep,5,11,0.455,1.0,0.625,
data_coupling__CBACT03C,data_coupling,grep,5,11,0.455,1.0,0.625,
data_coupling__CBCUS01C,data_coupling,grep,3,11,0.273,1.0,0.429,
data_coupling__CBACT02C,data_coupling,grep,2,10,0.2,1.0,0.333,
data_coupling__CBTRN03C,data_coupling,grep,2,9,0.222,1.0,0.364,
data_coupling__COBTUPDT,data_coupling,grep,2,2,1.0,1.0,1.0,
data_coupling__COTRTLIC,data_coupling,grep,2,3,0.667,1.0,0.8,
data_coupling__COTRTUPC,data_coupling,grep,2,13,0.154,1.0,0.267,
copybook_fan__COCOM01Y,copybook_fan,grep,21,21,1.0,1.0,1.0,
copybook_fan__COTTL01Y,copybook_fan,grep,21,21,1.0,1.0,1.0,
copybook_fan__CSDAT01Y,copybook_fan,grep,21,21,1.0,1.0,1.0,
copybook_fan__CSMSG01Y,copybook_fan,grep,21,21,1.0,1.0,1.0,
copybook_fan__DFHAID,copybook_fan,grep,21,21,1.0,1.0,1.0,
copybook_fan__DFHBMSCA,copybook_fan,grep,21,21,1.0,1.0,1.0,
copybook_fan__CSUSR01Y,copybook_fan,grep,14,14,1.0,1.0,1.0,
copybook_fan__CVACT01Y,copybook_fan,grep,14,14,1.0,1.0,1.0,
copybook_fan__CVACT03Y,copybook_fan,grep,14,14,1.0,1.0,1.0,
copybook_fan__CVTRA05Y,copybook_fan,grep,11,11,1.0,1.0,1.0,
copybook_fan__CVACT02Y,copybook_fan,grep,10,10,1.0,1.0,1.0,
copybook_fan__CVCUS01Y,copybook_fan,grep,10,10,1.0,1.0,1.0,
copybook_fan__CIPAUDTY,copybook_fan,grep,8,8,1.0,1.0,1.0,
copybook_fan__CIPAUSMY,copybook_fan,grep,7,7,1.0,1.0,1.0,
copybook_fan__CSMSG02Y,copybook_fan,grep,7,7,1.0,1.0,1.0,
txn_reach__CA00,txn_reach,grep,23,3,1.0,0.13,0.231,
txn_reach__CAUP,txn_reach,grep,23,1,1.0,0.043,0.083,
txn_reach__CAVW,txn_reach,grep,23,1,1.0,0.043,0.083,
txn_reach__CB00,txn_reach,grep,23,4,1.0,0.174,0.296,
txn_reach__CC00,txn_reach,grep,23,3,1.0,0.13,0.231,
txn_reach__CCDL,txn_reach,grep,23,1,1.0,0.043,0.083,
txn_reach__CCLI,txn_reach,grep,23,1,1.0,0.043,0.083,
txn_reach__CCUP,txn_reach,grep,23,1,1.0,0.043,0.083,
txn_reach__CM00,txn_reach,grep,23,3,1.0,0.13,0.231,
txn_reach__CPVD,txn_reach,grep,23,1,1.0,0.043,0.083,
txn_reach__CPVS,txn_reach,grep,23,4,1.0,0.174,0.296,
txn_reach__CR00,txn_reach,grep,23,5,1.0,0.217,0.357,
txn_reach__CT00,txn_reach,grep,23,4,1.0,0.174,0.296,
txn_reach__CT01,txn_reach,grep,23,4,1.0,0.174,0.296,
txn_reach__CT02,txn_reach,grep,23,5,1.0,0.217,0.357,
txn_reach__CTLI,txn_reach,grep,23,1,1.0,0.043,0.083,
txn_reach__CTTU,txn_reach,grep,23,1,1.0,0.043,0.083,
txn_reach__CU00,txn_reach,grep,23,4,1.0,0.174,0.296,
txn_reach__CU01,txn_reach,grep,23,4,1.0,0.174,0.296,
txn_reach__CU02,txn_reach,grep,23,4,1.0,0.174,0.296,
txn_reach__CU03,txn_reach,grep,23,4,1.0,0.174,0.296,
call_closure__COACTUPC,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COACTVWC,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COADM01C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COBIL00C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COCRDLIC,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COCRDSLC,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COCRDUPC,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COMEN01C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COPAUS0C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COPAUS1C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__CORPT00C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COSGN00C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COTRN00C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COTRN01C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COTRN02C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COTRTLIC,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COTRTUPC,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COUSR00C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COUSR01C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COUSR02C,call_closure,proxy,22,22,1.0,1.0,1.0,1
call_closure__COUSR03C,call_closure,proxy,22,22,1.0,1.0,1.0,1
data_access__ACCTFILE,data_access,proxy,6,6,1.0,1.0,1.0,1
data_access__XREFFILE,data_access,proxy,6,6,1.0,1.0,1.0,1
data_access__CUSTFILE,data_access,proxy,4,4,1.0,1.0,1.0,1
data_access__CARDDEMO.TRANSACTION_TYPE,data_access,proxy,3,3,1.0,1.0,1.0,1
data_access__CARDFILE,data_access,proxy,3,3,1.0,1.0,1.0,1
data_access__TRANFILE,data_access,proxy,3,3,1.0,1.0,1.0,1
data_access__DALYTRAN,data_access,proxy,2,2,1.0,1.0,1.0,1
data_access__EXPFILE,data_access,proxy,2,2,1.0,1.0,1.0,1
data_access__TCATBALF,data_access,proxy,2,2,1.0,1.0,1.0,1
data_access__TRANSACT,data_access,proxy,2,2,1.0,1.0,1.0,1
data_coupling__CBEXPORT,data_coupling,proxy,9,9,1.0,1.0,1.0,1
data_coupling__CBTRN01C,data_coupling,proxy,9,9,1.0,1.0,1.0,1
data_coupling__CBSTM03B,data_coupling,proxy,7,7,1.0,1.0,1.0,1
data_coupling__CBTRN02C,data_coupling,proxy,7,7,1.0,1.0,1.0,1
data_coupling__CBACT04C,data_coupling,proxy,6,6,1.0,1.0,1.0,1
data_coupling__CBACT01C,data_coupling,proxy,5,5,1.0,1.0,1.0,1
data_coupling__CBACT03C,data_coupling,proxy,5,5,1.0,1.0,1.0,1
data_coupling__CBCUS01C,data_coupling,proxy,3,3,1.0,1.0,1.0,1
data_coupling__CBACT02C,data_coupling,proxy,2,2,1.0,1.0,1.0,1
data_coupling__CBTRN03C,data_coupling,proxy,2,2,1.0,1.0,1.0,1
data_coupling__COBTUPDT,data_coupling,proxy,2,2,1.0,1.0,1.0,1
data_coupling__COTRTLIC,data_coupling,proxy,2,2,1.0,1.0,1.0,1
data_coupling__COTRTUPC,data_coupling,proxy,2,2,1.0,1.0,1.0,1
copybook_fan__COCOM01Y,copybook_fan,proxy,21,21,1.0,1.0,1.0,1
copybook_fan__COTTL01Y,copybook_fan,proxy,21,21,1.0,1.0,1.0,1
copybook_fan__CSDAT01Y,copybook_fan,proxy,21,21,1.0,1.0,1.0,1
copybook_fan__CSMSG01Y,copybook_fan,proxy,21,21,1.0,1.0,1.0,1
copybook_fan__DFHAID,copybook_fan,proxy,21,21,1.0,1.0,1.0,1
copybook_fan__DFHBMSCA,copybook_fan,proxy,21,21,1.0,1.0,1.0,1
copybook_fan__CSUSR01Y,copybook_fan,proxy,14,14,1.0,1.0,1.0,1
copybook_fan__CVACT01Y,copybook_fan,proxy,14,14,1.0,1.0,1.0,1
copybook_fan__CVACT03Y,copybook_fan,proxy,14,14,1.0,1.0,1.0,1
copybook_fan__CVTRA05Y,copybook_fan,proxy,11,11,1.0,1.0,1.0,1
copybook_fan__CVACT02Y,copybook_fan,proxy,10,10,1.0,1.0,1.0,1
copybook_fan__CVCUS01Y,copybook_fan,proxy,10,10,1.0,1.0,1.0,1
copybook_fan__CIPAUDTY,copybook_fan,proxy,8,8,1.0,1.0,1.0,1
copybook_fan__CIPAUSMY,copybook_fan,proxy,7,7,1.0,1.0,1.0,1
copybook_fan__CSMSG02Y,copybook_fan,proxy,7,7,1.0,1.0,1.0,1
txn_reach__CA00,txn_reach,proxy,23,23,1.0,1.0,1.0,1
txn_reach__CAUP,txn_reach,proxy,23,23,1.0,1.0,1.0,1
txn_reach__CAVW,txn_reach,proxy,23,23,1.0,1.0,1.0,1
txn_reach__CB00,txn_reach,proxy,23,23,1.0,1.0,1.0,1
txn_reach__CC00,txn_reach,proxy,23,23,1.0,1.0,1.0,1
txn_reach__CCDL,txn_reach,proxy,23,23,1.0,1.0,1.0,1
txn_reach__CCLI,txn_reach,proxy,23,23,1.0,1.0,1.0,1
